Case Number,Month_classifier,Year_classified,Type_classified,Country_classified,Area,Location,Activity_classified,Sex_classified,Investigator or Source,pdf,href formula,href,Case Number.1,Case Number.2,original order,Fatal_classified
2012.06.02.a,June,2012,Unprovoked,Usa,South Carolina,"Myrtle Beach, Horry County",Boogieboarding,M,C. Creswell,2012.06.02.a-Maczynski.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.02.a-Maczynski.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.02.a-Maczynski.pdf,2012.06.02.a,2012.06.02.a,5514.0,No
2012.05.31,May,2012,Unprovoked,Usa,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Wading,F,C. Creswell,2012.05.31-Konkler.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.31-Konkler.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.31-Konkler.pdf,2012.05.31,2012.05.31,5513.0,No
2012.05.29,May,2012,Unprovoked,Mexico,Guerrero," Boca de la Leña, La Unión",Freedivingspearfishing,M,"El Sol ee Morelia, 5/30/2012",2012.05.29-Navarrette.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.29-Navarrette.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.29-Navarrette.pdf,2012.05.29,2012.05.29,5512.0,No
2012.05.23,May,2012,Unprovoked,Usa,Florida,"Jacksonville, Duval County",Surfing,M,"First Coast News, 5/24/2012",2012.05.23-Renfro.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.23-Renfro.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.23-Renfro.pdf,2012.05.23,2012.05.23,5511.0,No
2012.05.20,May,2012,Something in a boat activitie,Usa,Hawaii,"Iroquiois Point, Oahu",Kayakfishing,M,"Hawaii Now, 5/25/2012",2012.05.20-Gallardo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.20-Gallardo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.20-Gallardo.pdf,2012.05.20,2012.05.20,5510.0,No
2012.05.16,May,2012,Unprovoked,Fiji,Not specified,Matacucu Reef ,Spearfishing,M,"Fiji Times, 5/17/2012",2012.05.16-Naborisi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.16-Naborisi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.16-Naborisi.pdf,2012.05.16,2012.05.16,5509.0,No
2012.05.12,May,2012,Something in a boat activitie,Usa,California,"Leffingwell Landing, Cambria,  San Luis Obispo County",Kayakingfishing,M,R. Collier,2012.05.12-Nocchi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.12-Nocchi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.12-Nocchi.pdf,2012.05.12,2012.05.12,5508.0,No
2012.05.09,May,2012,Unprovoked,Usa,Florida,"Vero Beach, Indian River County",Swimming,F,News Channel 5,2012.05.09-Stei.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.09-Stei.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.09-Stei.pdf,2012.05.09,2012.05.09,5507.0,No
2012.05.06,May,2012,Unprovoked,Usa,California,Off Catalina Island,Paddleboarding,F,"R. Collier, A. Brenneka",2012.05.06-McKereghan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.06-McKereghan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.06-McKereghan.pdf,2012.05.06,2012.05.06,5506.0,No
2012.04.19.b,April,2012,Unprovoked,Usa,Florida,"Indialantic, Brevard County",Surfing,M,"MyFoxOrlando, 4/19/2012",2012.04.19.b-Ellingham.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.04.19.b-Ellingham.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.04.19.b-Ellingham.pdf,2012.04.19.b,2012.04.19.b,5505.0,No
2012.04.19.a,April,2012,Unprovoked,South Africa,Western Cape Province,Caves near Kogel Bay,Bodyboarding,M,"News 24, 4/19/2012",2012.04.19.a-Lilienfeld.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.04.19.a-Lilienfeld.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.04.19.a-Lilienfeld.pdf,2012.04.19.a,2012.04.19.a,5504.0,Yes
2012.04.11,April,2012,Something in a boat activitie,Australia,South Australia,"Dolphin Bay, Innes National Park",Kayaking,M,"Adelaide Now, 4/12/2012",2012.04.11-Demasi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.04.11-Demasi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.04.11-Demasi.pdf,2012.04.11,2012.04.11,5503.0,No
2012.04.03,April,2012,Unprovoked,Usa,Hawaii,"Leftovers near Chun's Reef, Oahu",Surfing,M,"Hawaii News Now, 4/3/2012",2012.04.03-Holley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.04.03-Holley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.04.03-Holley.pdf,2012.04.03,2012.04.03,5502.0,No
2012.04.00,April,2012,Unprovoked,Usa,Florida,"Sanibel Island, Lee County",not specified,M,"Morning Sentinel, 4/20/2012",2012.04.00-Hapworth.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.04.00-Hapworth.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.04.00-Hapworth.pdf,2012.04.00,2012.04.00,5501.0,No
2012.03.31,March,2012,Unprovoked,Australia,Western Australia,Stratham Beach,Scubadiving,M,"Associated Press, 3/31/2012",2012.03.31-Kurmann.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.31-Kurmann.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.31-Kurmann.pdf,2012.03.31,2012.03.31,5500.0,Yes
2012.03.24,March,2012,Unprovoked,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,M,"H. Frederick, NSB News, 3/24/2012",2012.03.24-Coppola.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.24-Coppola.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.24-Coppola.pdf,2012.03.24,2012.03.24,5499.0,No
2012.03.22,March,2012,Something in a boat activitie,Australia,Western Australia,Kalbarri,Crayfishing,No specified,"Sydney Morning Herald, 3/22/2012",2012.03.22-Kalbarri-fishermen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.22-Kalbarri-fishermen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.22-Kalbarri-fishermen.pdf,2012.03.22,2012.03.22,5498.0,No
2012.03.20,March,2012,Unprovoked,Australia,Queensland,Nobby's Beach,Surfing,M,"Courier Mail, 3/20/2012",2012.03.20-OLeary.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.20-OLeary.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.20-OLeary.pdf,2012.03.20,2012.03.20,5497.0,No
2012.03.15,March,2012,Unprovoked,Usa,Florida,"Jensen Beach, Martin County ",Surfing,M,"WPBF.com, 3/16/2012",2012.03.15-Wacha.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.15-Wacha.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.15-Wacha.pdf,2012.03.15,2012.03.15,5496.0,No
2012.03.14.b,March,2012,Unprovoked,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,F,"C. Graham, Daytona Beach News-Journal, 3/14/2012",2012.03.14.b-Levy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.14.b-Levy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.14.b-Levy.pdf,2012.03.14.b,2012.03.14.b,5495.0,No
2012.03.14.a,March,2012,Unprovoked,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,M,"C. Graham, Daytona Beach News-Journal, 3/14/2012",2012.03.14.a-Romano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.14.a-Romano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.14.a-Romano.pdf,2012.03.14.a,2012.03.14.a,5494.0,No
2012.03.06.b,March,2012,Unprovoked,New Zealand,North Island,"Opunake, Taranake",Surfing,M,"NZ Herald, 3/7/2012",2012.03.06.b-Garrett.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.06.b-Garrett.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.06.b-Garrett.pdf,2012.03.06.b,2012.03.06.b,5493.0,No
2012.03.06.a,March,2012,Provoked,Australia,Victoria,"Shipwreck Cove, Melbourne Aquarium",Divingfeeding,F,"The Age, 3/6/2012",2012.03.06.a-MelbourneAquarium.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.06.a-MelbourneAquarium.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.06.a-MelbourneAquarium.pdf,2012.03.06.a,2012.03.06.a,5492.0,No
2012.03.05,March,2012,Unprovoked,Reunion,Saint-Benoit,Port de la Marine,Bodyboarding,M,"Clicanoo, 3/5/2012",2012.03.05-Itema.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.05-Itema.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.05-Itema.pdf,2012.03.05,2012.03.05,5491.0,No
2012.03.04,March,2012,Unprovoked,Usa,Florida,"Playalinda Beach, Brevard County",Kitesurfing,M,Brevard Times,2012.03.04-Worrall.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.04-Worrall.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.04-Worrall.pdf,2012.03.04,2012.03.04,5490.0,No
2012.03.03,March,2012,Invalid,Saudi Arabia,Tabuk Province,Off Duba,Attempting,M,"Polskie Radio, 3/5/2012",2012.03.03-Lisewski.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.03-Lisewski.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.03-Lisewski.pdf,2012.03.03,2012.03.03,5489.0,not specified
2012.03.01,March,2012,Provoked,Chile,Antofagasta Province,Antofagasta,Fishing,M,"Soychile.cl, 3/1/2012",2012.03.01-Salomon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.01-Salomon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.01-Salomon.pdf,2012.03.01,2012.03.01,5488.0,No
2012.02.26,February,2012,Provoked,Usa,Florida,"Palm Beach Inlet, Palm Beach County",Kitesurfing,M,"Aspen Daily News, 2/29/2012",2012.02.26-Lasser.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.02.26-Lasser.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.02.26-Lasser.pdf,2012.02.26,2012.02.26,5487.0,No
2012.02.25,February,2012,Unprovoked,Australia,New South Wales,Broughton Island,Fishing,M,"B. Smee, Newcastle Herald, 2/27/2012",2012.02.25-BroughtonIslandFisherman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.02.25-BroughtonIslandFisherman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.02.25-BroughtonIslandFisherman.pdf,2012.02.25,2012.02.25,5486.0,No
2012.02.20,February,2012,Something in a boat activitie,South Africa,Western Cape Province,Strandfontein,Fishing,No specified,"Cape Argus, 2/21/2012",2012.02.20-StrandfonteinBoat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.02.20-StrandfonteinBoat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.02.20-StrandfonteinBoat.pdf,2012.02.20,2012.02.20,5485.0,No
2012.02.06,February,2012,Unprovoked,Australia,Queensland,Wurtulla,Surfing,M,"Sunshine Coast Daily, 2/7/2012",2012.02.06-Ferguson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.02.06-Ferguson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.02.06-Ferguson.pdf,2012.02.06,2012.02.06,5484.0,No
2012.01.27,January,2012,Unprovoked,Usa,Hawaii,Lanai,Snorkeling,No specified,HawaiiNow.com,2012.01.27-NV-Graden.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.27-NV-Graden.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.27-NV-Graden.pdf,2012.01.27,2012.01.27,5483.0,No
2012.01.19,January,2012,Unprovoked,Australia,Western Australia,Coral Bay,Snorkeling,M,"Sydney Morning Herald, 1/20/2012",2012.01.19-Pickering.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.19-Pickering.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.19-Pickering.pdf,2012.01.19,2012.01.19,5482.0,No
2012.01.22.R,January,2012,Unprovoked,Bahamas,Not specified,Cat Island,Divingphotographing,M,"Evening Chronicle, 1/23/2012",2012.01.22.R-Bahamas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.22.R-Bahamas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.22.R-Bahamas.pdf,2012.01.22.R,2012.01.22.R,5481.0,No
2012.01.18.b,January,2012,Provoked,Taiwan,Taitung ,Taimali,Fishing,M,Taiwan television,2012.01.18.b-Taiwan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.18.b-Taiwan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.18.b-Taiwan.pdf,2012.01.18.b,2012.01.18.b,5480.0,No
2012.01.18.a,January,2012,Unprovoked,Australia,New South Wales,Redhead Beach,Surfing,M,V. Peddemors,2012.01.18.a-Folkard.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.18.a-Folkard.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.18.a-Folkard.pdf,2012.01.18.a,2012.01.18.a,5479.0,No
2012.01.15,January,2012,Unprovoked,South Africa,Eastern Cape Province,"Second Beach, Port St. Johns",Swimming,M,"News 24, 1/15/2012; R. Bonorchis, Bloomberg News, 1/16/2012",2012.01.15-Msungubana.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.15-Msungubana.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.15-Msungubana.pdf,2012.01.15,2012.01.15,5478.0,Yes
2012.01.13,January,2012,Unprovoked,Usa,Oregon,"Lincoln City, Lincoln County",Surfing,M,R. Collier,2012.01.13-Harnack.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.13-Harnack.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.13-Harnack.pdf,2012.01.13,2012.01.13,5477.0,No
2012.01.03,January,2012,Unprovoked,Australia,New South Wales,North Avoca Beach,Surfing,M,"Daily Telegraph, 1/3/2012",2012.01.03-Wells.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.03-Wells.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.03-Wells.pdf,2012.01.03,2012.01.03,5476.0,No
2012.01.02,January,2012,Unprovoked,Australia,Queensland,Duranbah,Spearfishing,M,"A. Brenneka, goldcoast.com.au, 1/3/2012",2012.01.02-Hugo-Ricardo-Mendes-da-Silva.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.02-Hugo-Ricardo-Mendes-da-Silva.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.02-Hugo-Ricardo-Mendes-da-Silva.pdf,2012.01.02,2012.01.02,5475.0,No
2011.12.31,December,2011,Unprovoked,Usa,Florida,"Jupiter, Palm Beach County",not specified,M,"Palm Beach Post,  12/31/2011",2011.12.31-Jupiter.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.31-Jupiter.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.31-Jupiter.pdf,2011.12.31,2011.12.31,5474.0,No
2011.12.26.R,December,2011,Invalid,Antigua,St John's,Fort James Beach,Swimming,M,"D. Francis, Caribarena, 12/26/2011",2011.12.26.R-Edwards.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.26.R-Edwards.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.26.R-Edwards.pdf,2011.12.26.R,2011.12.26.R,5473.0,not specified
2011.12.25,December,2011,Unprovoked,Ecuador,Santa Elena,Barandúa Beach,Surfing,M,"A. Brenneka, SharkAttackSurvivors.com",2011.12.25-Trejos.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.25-Trejos.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.25-Trejos.pdf,2011.12.25,2011.12.25,5472.0,No
2011.12.23,December,2011,Unprovoked,Usa,Florida,New Smyrna Beach,Surfing,M,"Daytona Beach News-Journal, 12/24/2011",2011.12.23-Futato.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.23-Futato.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.23-Futato.pdf,2011.12.23,2011.12.23,5471.0,No
2011.12.21.b,December,2011,Provoked,Usa,Hawaii,"Makahuena Point, Kauai",Canoeing,M,"A. Brenneka, SharkAttackSurvivors.com",2011.12.21.b-Miyake.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.21.b-Miyake.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.21.b-Miyake.pdf,2011.12.21.b,2011.12.21.b,5470.0,No
2011.12.21.a,December,2011,Something in a boat activitie,South Africa,Eastern Cape Province,"Noordhoek, Port Elizabeth",Kayakfishing,M,"Port Elizabeth Herald, 12/22/2011",2011.12.21.a-Coetzee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.21.a-Coetzee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.21.a-Coetzee.pdf,2011.12.21.a,2011.12.21.a,5469.0,No
2011.12.11,December,2011,Unprovoked,Australia,New South Wales,Angourie,Surfing,M,"Daily Examiner, 12/11/2011",2011.12.11-King.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.11-King.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.11-King.pdf,2011.12.11,2011.12.11,5468.0,No
2011.12.07.b,December,2011,Invalid,South Africa,KwaZulu-Natal,Between Sodwana & Cape Vidal,Surfskiing,M,"Durban Daily News, 12/8/2011",2011.12.07.b-Kohler.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.07.b-Kohler.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.07.b-Kohler.pdf,2011.12.07.b,2011.12.07.b,5467.0,not specified
2011.12.07.a,December,2011,Unprovoked,Australia,New South Wales,Maroubra,Surfing,M,"The Australian, 12/12/2011",2011.12.07.a-Mason.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.07.a-Mason.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.07.a-Mason.pdf,2011.12.07.a,2011.12.07.a,5466.0,No
2011.12.06,December,2011,Unprovoked,Usa,Oregon,Seaside Cove,Surfing,F,"Seaside Signal, 12/6/2011",2011.12.06-Seaside-Oregon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.06-Seaside-Oregon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.06-Seaside-Oregon.pdf,2011.12.06,2011.12.06,5465.0,No
2011.12.05,December,2011,Invalid,Australia,Queensland,Bushy Ilet,Spearfishing,No specified,"H. Beck, Cairns.com, 12/7/2011",2011.12.05-Forsden.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.05-Forsden.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.05-Forsden.pdf,2011.12.05,2011.12.05,5464.0,not specified
2011.12.02,December,2011,Unprovoked,Australia,New South Wales,Broken Head,Surfing,M,"Northern Star, 12/3/2011",2011.12.02-Carter.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.02-Carter.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.02-Carter.pdf,2011.12.02,2011.12.02,5463.0,No
2011.11.29,November,2011,Unprovoked,Indonesia,Bali,Tabanan,Surfing,M,"Daily Telegraph, 11/30/2011",2011.11.29-Andrews.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.29-Andrews.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.29-Andrews.pdf,2011.11.29,2011.11.29,5462.0,No
2011.11.28,November,2011,Unprovoked,Australia,Queensland,Peregian,Swimming,M,"Sunshire Coast Daily, 12/1/2011 ",2011.11.28-Kriz-not-on-spreadsheet.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.28-Kriz-not-on-spreadsheet.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.28-Kriz-not-on-spreadsheet.pdf,2011.11.28,2011.11.28,5461.0,No
2011.11.22,November,2011,Something in a boat activitie,Usa,California,Pigeon Point,Kayaking,M,R. Collier,2011.11.22-Harry-Pali.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.22-Harry-Pali.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.22-Harry-Pali.pdf,2011.11.22,2011.11.22,5460.0,No
2011.11.20.R,November,2011,Unprovoked,Papua New Guinea,East New Britain,Pigeon Island,Scubadiving,M,"you Tube, Shark Attack at 57 metres",2011.11.20.R-PigeonIsland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.20.R-PigeonIsland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.20.R-PigeonIsland.pdf,2011.11.20.R,2011.11.20.R,5459.0,No
2011.11.12,November,2011,Unprovoked,Brazil,Pernambuco,"Punta Del Chifre Beach, Olinda",Surfing,M,"H. Nickel & A. Brenneka, SharkAttackSurvivors.com",2011.11.12-Periera-Pernambuco.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.12-Periera-Pernambuco.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.12-Periera-Pernambuco.pdf,2011.11.12,2011.11.12,5458.0,No
2011.11.11,November,2011,Unprovoked,Reunion,Bois-Blanc ,Sainte-Rose,Freedivingspearfishing,M,"H. Nickel & A. Brenneka, SharkAttackSurvivors.com",2011.11.11-Delaunay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.11-Delaunay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.11-Delaunay.pdf,2011.11.11,2011.11.11,5457.0,No
2011.10.29.,October,2011,Unprovoked,Usa,California,"Marina State Beach, Monterey County",Surfing,M,R. Collier,2011.10.29-Tarantino.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.29-Tarantino.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.29-Tarantino.pdf,2011.10.29.,2011.10.29.,5456.0,No
2011.10.28.R,October,2011,Unprovoked,Scotland,Moray,Spey Bay,Surfing,M,"Daily Record, 10/28/2011",2011.10.28.R-Rollo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.28.R-Rollo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.28.R-Rollo.pdf,2011.10.28.R,2011.10.28.R,5455.0,No
2011.10.28.,October,2011,Provoked,South Africa,KwaZulu-Natal,"uShaka Aquarium, Durban",Diving,No specified,"Durban Radio, 10/29/2011",2011.10.28-uShaka-Aquarium.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.28-uShaka-Aquarium.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.28-uShaka-Aquarium.pdf,2011.10.28.,2011.10.28.,5454.0,No
2011.10.22,October,2011,Unprovoked,Australia,Western Australia,Rottnest Island,Diving,M,"Sky News, 10/22/2011",2011.10.22-Wainwright.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.22-Wainwright.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.22-Wainwright.pdf,2011.10.22,2011.10.22,5453.0,Yes
2011.10.20,October,2011,Unprovoked,Usa,Oregon,"Newport, Lincoln County",Surfing,M,R. Collier,2011.10.20-Gumm.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.20-Gumm.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.20-Gumm.pdf,2011.10.20,2011.10.20,5452.0,No
2011.10.19,October,2011,Unprovoked,Australia,Victoria,Elwood Beach,Diving,M,"The Age, 10/20/2011",2011.10.19-Houston.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.19-Houston.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.19-Houston.pdf,2011.10.19,2011.10.19,5451.0,No
2011.10.11,October,2011,Unprovoked,Usa,Florida,Cape Canaveral,Surfing,M,T. Riley,2011.10.11-Riley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.11-Riley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.11-Riley.pdf,2011.10.11,2011.10.11,5450.0,No
2011.10.10,October,2011,Unprovoked,Usa,Oregon,Seaside,Surfing,M,"R.Collier; KATU News, 10/11/2011",2011.10.10-Niblack.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.10-Niblack.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.10-Niblack.pdf,2011.10.10,2011.10.10,5449.0,No
2011.10.09,October,2011,Unprovoked,Australia,Western Australia,Cottesloe Beach,Swimming,M,"Perth Now, 10/11/2011",2011.10.09-Martin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.09-Martin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.09-Martin.pdf,2011.10.09,2011.10.09,5448.0,Yes
2011.10.05,October,2011,Something in a boat activitie,Reunion,Not specified,Cap La Houssaye,Canoeing,M,"Clicanoo, 10/5/2011",2011.10.05-Castellani.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.05-Castellani.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.05-Castellani.pdf,2011.10.05,2011.10.05,5447.0,No
2011.10.02,October,2011,Unprovoked,Usa,Florida,"Santa Maria Island, Manatee County",Wadefishing,M,"Herald Tribune, 10/2/2011",2011.10.02-Perez.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.02-Perez.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.02-Perez.pdf,2011.10.02,2011.10.02,5446.0,No
2011.10.01,October,2011,Unprovoked,Usa,Alabama,"Gulf Shores, Baldwin County",not specified,M,WKRG,2011.10.01-Meade.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.01-Meade.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.01-Meade.pdf,2011.10.01,2011.10.01,5445.0,No
2011.09.30,September,2011,Invalid,Usa,Puerto Rico,Hatillo Beach,Surfing,M,"El Nuevodia, 9/30/2011",2011.09.30-Casanova.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.09.30-Casanova.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.09.30-Casanova.pdf,2011.09.30,2011.09.30,5444.0,not specified
2011.09.28.b,September,2011,Provoked,Dominican Republic,Samaná Province,Playa Jackson ,Fishing,M,"Hoy Digital, 9/28/2011",2011.09.28.b-Sarante.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.09.28.b-Sarante.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.09.28.b-Sarante.pdf,2011.09.28.b,2011.09.28.b,5443.0,No
